,Q16288,Q9UM73,P06213,P52564,Q8IU85,P04629,P42345,P51617,Q15418,P78368,P48729,P51812,Q16539,P54646,Q02763,Q9HCP0,O75582,P48736,Q96GD4,P16591,P48730,P22607,Q9Y4K4,P67870,Q9HAZ1,O43293,O00444,O15530,P51957,P16234,Q9UQM7,P36507,Q9BXA7,P35968,O60674,Q9H4B4,Q86V86,Q05397,P00533,O14757,P07333,Q9Y243,P12931,O14965,Q7KZI7,P15056,Q13237,P29317,O95819,P11362,Q15759,P53778,O00311,P35916,Q05655,Q14680,P30291,Q9HBY8,P10721,Q8TDC3,O00418,P24941,Q00535,P41240,P06493,P22694,P78527,Q16644,P04049,Q96PF2,Q13131,O15111,P54619,P09619,P11309,Q9UBF8,P15735,P29376,P49841,P07948,Q06418,P30530,Q9H3Y6,P51813,O00141,Q13188,Q13976,Q12866,Q07912,Q9NWZ3,P50613,Q9P289,Q02156,P17252,P08631,P49759,Q13557,Q02750,P43405,Q05513,Q15078,Q9BWU1,P04626,P07332,P28482,P21802,Q9NR20,Q9HBH9,Q16620,P80192,P53350,P05129,P53667,P27448,P50750,P36888,Q13627,P27361,O94806,Q9UGJ0,P31749,Q00534,Q14164,Q5S007,Q9BUB5,Q14289,P52333,Q99683,O15264,P05771,Q04912,P17612,P22612,P07949,Q9Y463,P54760,Q13555,Q8NE63,Q13882,O14920,Q9UHD2,Q12851,O43781,P17948,P06241,Q9UGI9,P51451,P06239,O15075,Q96SB4,Q13554,P34947,Q08881,P49137,Q5VT25,P19784,P43403,Q14012,P29323,Q15118,P49336,P49760,P24723,Q16566,P42684,P42336,Q96RG2,Q9NYL2,Q9H2G2,O96017,Q9Y6M4,P68400,Q15139,O00329,Q04759,P08069,Q9H2X6,P31751,P42679,P11802,Q8N4C8,P08581,P00519,Q06187,Q96KB5,Q04771,P49840,P41279,P41743
Q05655,0.090490673,0.056365299,0.067906353,0.102300446,0.16225821,0.08182622,0.027991507,0.068178405,0.184518923,0.086675027,0.075957129,0.183151294,0.107359187,0.127450867,0.072736833,0.086281197,0.170282016,0.044972454,0.163648339,0.099944716,0.083840473,0.090667058,0.070718815,0.044137137,0.092867131,0.118513629,0.099187101,0.164158339,0.087697817,0.082904971,0.120259126,0.113067837,0.127080244,0.082294236,0.075467074,0.095647719,0.109897779,0.075799677,0.077863801,0.105935768,0.083062501,0.274539452,0.098588977,0.147815912,0.112114196,0.115264134,0.159852651,0.078468566,0.057538321,0.097598928,0.099273415,0.124786446,0.070114256,0.06989713,1.0,0.10932624,0.070427103,0.256900277,0.085856525,0.112003251,0.047356104,0.145127906,0.124129772,0.11326961,0.138083255,0.244368547,0.026625482,0.132790038,0.12377178,0.133747554,0.122492272,0.077464101,0.036151696,0.070436878,0.100180497,0.052923717,0.121451902,0.068194294,0.118130559,0.097524134,0.085895522,0.081110424,0.094413365,0.101765638,0.259227742,0.101906404,0.186141568,0.08650158,0.067779705,0.091333547,0.114010224,0.119495815,0.426430791,0.391420654,0.099455086,0.105344324,0.114451549,0.114499984,0.089030412,0.295340319,0.039570485,0.090970038,0.07484725,0.092447714,0.100621127,0.092568381,0.092826388,0.129059157,0.082044349,0.067488945,0.107713435,0.370203076,0.101941538,0.113831218,0.09796911,0.085398955,0.089373829,0.091421208,0.150792197,0.037093386,0.266020256,0.114702185,0.063011362,0.049262128,0.121515264,0.084141058,0.071144116,0.081365985,0.122834858,0.400239733,0.060055254,0.246781861,0.234301018,0.081923466,0.090034331,0.078926248,0.104653139,0.081708002,0.102162346,0.080164153,0.070038325,0.073926722,0.10257246,0.074030325,0.107307446,0.040814798,0.097028568,0.088970533,0.109732645,0.060940389,0.08938412,0.175150193,0.091716029,0.128761645,0.096920493,0.105357455,0.087679286,0.160003662,0.089436485,0.046286287,0.087179889,0.097139931,0.422938289,0.13088282,0.07106694,0.052352412,0.075104143,0.069895066,0.070389956,0.120116497,0.087321484,0.097904238,0.158361625,0.044926003,0.649120601,0.064490806,0.068506224,0.27156772,0.111426818,0.094798261,0.056281143,0.059198798,0.075493284,0.095966331,0.069775291,0.087355769,0.107674282,0.089263318,0.297145594
Q14680,0.071084783,0.04629466,0.046561292,0.089312303,0.214660126,0.067861846,0.030637266,0.068247092,0.127492308,0.089096147,0.10421138,0.130504704,0.124249311,0.227251291,0.050391288,0.089679913,0.12645134,0.048421695,0.150644397,0.064831704,0.09794108,0.073740413,0.113434945,0.043625032,0.09806234,0.168679531,0.135221196,0.14435603,0.105307753,0.057141741,0.16340511,0.09778224,0.187438881,0.053318251,0.058677509,0.14370649,0.156552244,0.081066083,0.063700979,0.180738981,0.057293845,0.147728729,0.083362702,0.157033962,0.234168774,0.07579171,0.104662412,0.056248831,0.078361622,0.071501924,0.114936528,0.118181606,0.074286618,0.052611173,0.10932624,1.0,0.072967105,0.144079392,0.053270064,0.197235805,0.044818914,0.153250402,0.13521234,0.091718924,0.147399621,0.173867881,0.02956608,0.163917089,0.079103828,0.184444243,0.235441717,0.109194868,0.041107889,0.05540435,0.139920042,0.049044274,0.165451301,0.046667974,0.110287317,0.081483879,0.062623232,0.051389651,0.081829563,0.067352074,0.136888523,0.117333939,0.117678747,0.051668483,0.075501177,0.078923621,0.110291859,0.130067752,0.109002418,0.099871274,0.079078894,0.103601446,0.164577983,0.092034798,0.066453535,0.117229049,0.036323674,0.094026345,0.054829366,0.062638109,0.11155312,0.075778388,0.085301043,0.151960817,0.071454229,0.091626215,0.138134619,0.102002614,0.079375505,0.239296441,0.120241104,0.0621768,0.073601262,0.115108017,0.102170768,0.043947994,0.145743325,0.108337467,0.102288177,0.053510023,0.135871316,0.071724571,0.056659592,0.072508166,0.120129174,0.099506687,0.04568534,0.176652801,0.173166277,0.057673415,0.078081284,0.059809824,0.154579459,0.096804442,0.094730997,0.107283914,0.103301524,0.102871796,0.081344429,0.061328114,0.085167387,0.036263848,0.079223393,0.07944901,0.130928003,0.060474694,0.155871415,0.105451889,0.068618565,0.153333208,0.08084609,0.120713094,0.082366753,0.198725745,0.059260759,0.044780439,0.09188216,0.092886856,0.116799139,0.175987634,0.078743341,0.047894277,0.074248093,0.093226969,0.088170809,0.145668915,0.089487001,0.110893366,0.103774354,0.047618473,0.103911993,0.043257838,0.083639435,0.152771893,0.073825692,0.114436924,0.073883932,0.052013954,0.07655574,0.067876368,0.062106763,0.071887889,0.104319423,0.096756736,0.120320025
P30291,0.065097084,0.051950214,0.053305019,0.080428182,0.090589224,0.070729423,0.029735516,0.083397155,0.091925333,0.05924151,0.067763634,0.082686935,0.081119045,0.070994313,0.061168283,0.061334211,0.076638571,0.043199213,0.087036279,0.060454624,0.060119298,0.078480157,0.070907999,0.044338554,0.081527544,0.095252918,0.053115665,0.067328239,0.077353975,0.068344098,0.093557524,0.090292582,0.070384971,0.054993802,0.061189317,0.093108765,0.076822081,0.058927907,0.057435672,0.079117687,0.061755933,0.084516333,0.09029521,0.098584801,0.066382392,0.090185202,0.064198454,0.085648969,0.053815288,0.081757347,0.080187636,0.090165657,0.069450516,0.05780863,0.070427103,0.072967105,1.0,0.087871549,0.058201064,0.060749132,0.055706804,0.096067187,0.102687684,0.077808021,0.089832888,0.084137948,0.024696587,0.09713556,0.092868806,0.072975171,0.0751311,0.074405465,0.040076047,0.053979377,0.08268604,0.057871244,0.080878227,0.065042463,0.079380069,0.098098085,0.07295325,0.067439347,0.083117497,0.07619346,0.084999981,0.116355648,0.064008439,0.056921418,0.055886949,0.078333018,0.077576197,0.121313646,0.076040068,0.082127641,0.089340148,0.078585546,0.083968681,0.094528282,0.068150833,0.068864142,0.046505385,0.076091373,0.057170043,0.07112644,0.081147977,0.071120594,0.068470068,0.086152926,0.066014718,0.070106196,0.068854926,0.075514775,0.085226662,0.068666882,0.084905866,0.05571028,0.064553702,0.085085238,0.063803669,0.070526523,0.084727394,0.085724757,0.053454746,0.043852729,0.065287882,0.059703438,0.060115479,0.066265357,0.093096968,0.080597697,0.052444559,0.084914896,0.089416201,0.064978258,0.066336714,0.084057564,0.082284075,0.061924651,0.085783662,0.070918334,0.05339124,0.068819538,0.06866711,0.058049028,0.104362139,0.067965219,0.084895045,0.090575544,0.093425613,0.059739523,0.077716978,0.071706046,0.063815789,0.101124543,0.040366568,0.070651937,0.070412279,0.089443601,0.063477829,0.050949324,0.075303264,0.072072634,0.062434551,0.091323095,0.053333719,0.033679169,0.055491827,0.060412294,0.05705131,0.09904672,0.070128822,0.070084423,0.066331749,0.050734271,0.070991749,0.053959474,0.06043061,0.092841006,0.085417685,0.088715069,0.05372761,0.045893114,0.059555763,0.075794421,0.097770658,0.077490736,0.088144945,0.094334567,0.084463435
Q9HBY8,0.076842434,0.054891114,0.057740768,0.132093392,0.229675397,0.075799423,0.03056392,0.088333968,0.268453044,0.110215414,0.102152726,0.257148875,0.141783014,0.157414178,0.074951604,0.122714957,0.233135526,0.045711582,0.217742963,0.078442244,0.090539648,0.076704074,0.095235783,0.043234252,0.092045094,0.148482775,0.104717459,0.224945579,0.117015421,0.069248498,0.159162704,0.136239057,0.156834285,0.059889348,0.074246844,0.157389706,0.143893055,0.078942314,0.064597872,0.133737013,0.076195767,0.387921557,0.088530166,0.196472419,0.14742949,0.098620456,0.180994264,0.071428494,0.075608508,0.078684689,0.145611242,0.136921523,0.087939208,0.057667709,0.256900277,0.144079392,0.087871549,1.0,0.06885275,0.139023247,0.046648361,0.161888612,0.139660487,0.113647551,0.151752402,0.340953223,0.024349085,0.172565297,0.103621505,0.16567651,0.148709584,0.099344701,0.047426275,0.066289037,0.127908536,0.045325736,0.16787349,0.080709595,0.150620614,0.096879014,0.083079834,0.084511419,0.095856166,0.092604498,0.627287581,0.128231168,0.203770071,0.075497173,0.078013907,0.094647319,0.125484175,0.143949444,0.269462503,0.262925321,0.089086848,0.08943195,0.157068855,0.131195948,0.090704353,0.30332375,0.059233825,0.110513884,0.066446195,0.079995871,0.139644898,0.077696013,0.100424872,0.161259276,0.076348554,0.081217302,0.136203316,0.267199754,0.113966299,0.14049775,0.11837202,0.066643196,0.101664871,0.148396378,0.118992329,0.056709967,0.378797806,0.134042796,0.094675117,0.051565338,0.151702485,0.085698353,0.085804116,0.078910151,0.142792316,0.26290905,0.057877154,0.346345838,0.347496457,0.080403018,0.114106078,0.073153002,0.152047245,0.102067963,0.10561773,0.100377827,0.091346453,0.097235743,0.107540801,0.065177537,0.091238806,0.058382354,0.108987009,0.091328643,0.143143299,0.055034848,0.130973528,0.18699834,0.083579061,0.1791588,0.130747617,0.137263331,0.095606264,0.20937785,0.07322677,0.047145479,0.113450385,0.092242416,0.27176232,0.168149281,0.076588564,0.043156506,0.079143008,0.075485544,0.086243906,0.156051351,0.109110109,0.124447047,0.119578206,0.045512718,0.244555972,0.047313159,0.073221793,0.380244212,0.095244439,0.118899937,0.073765378,0.060854142,0.076714376,0.088975191,0.09837849,0.103860667,0.146501535,0.109723557,0.31072462
P10721,0.142602164,0.099327227,0.118660093,0.089299835,0.071935055,0.148270042,0.033400598,0.067128136,0.082451499,0.052317859,0.058703879,0.07588259,0.083465876,0.062081121,0.149031616,0.061143484,0.055378628,0.049371121,0.074859592,0.144664534,0.064542925,0.215093855,0.051632732,0.046405955,0.069692751,0.0647815,0.052419496,0.057953899,0.058179622,0.29971397,0.054566217,0.072342207,0.072337907,0.205549212,0.101573308,0.059862106,0.066493823,0.105394127,0.102587942,0.07669481,0.368562711,0.058443567,0.143588046,0.073165005,0.051146749,0.096699768,0.069194181,0.119646703,0.043149831,0.217025739,0.085991046,0.080053676,0.057467531,0.20763413,0.085856525,0.053270064,0.058201064,0.06885275,1.0,0.043471713,0.04808507,0.087519158,0.096765478,0.143115286,0.073999708,0.078989198,0.029236195,0.06815359,0.099821013,0.073693042,0.065316106,0.055890434,0.039892796,0.287522316,0.063964075,0.046291036,0.065047131,0.121989312,0.080987986,0.153070965,0.124313076,0.138098007,0.148778605,0.145678567,0.074393663,0.077888849,0.090027774,0.12692129,0.083603393,0.085325074,0.07586871,0.081429548,0.069898751,0.079057752,0.157307013,0.072189724,0.053414464,0.071566005,0.132046968,0.0661252,0.03732893,0.054606823,0.098048627,0.126290287,0.086493057,0.220258461,0.056392551,0.068086625,0.146415269,0.068431261,0.064645759,0.066165564,0.089805847,0.053726784,0.066924106,0.273063984,0.053775895,0.086315011,0.064419864,0.042675244,0.061964061,0.083728277,0.060661567,0.051610252,0.062016863,0.10391794,0.102218227,0.062412033,0.081461601,0.070072423,0.101231643,0.07705465,0.069901051,0.16662655,0.053183137,0.108042983,0.050286813,0.045866348,0.15399196,0.048812676,0.049454133,0.049280571,0.065083779,0.225174602,0.147620583,0.042163902,0.143026916,0.152336446,0.065713758,0.039986,0.046484335,0.062780341,0.125477788,0.065108069,0.036682887,0.067554588,0.12425101,0.075311696,0.110856529,0.03657979,0.060567497,0.05100585,0.078699521,0.06360919,0.114005165,0.048074129,0.053803331,0.079932627,0.04736781,0.067995739,0.050856499,0.06282346,0.068099203,0.045576824,0.080664805,0.11621342,0.045894467,0.063372335,0.1421874,0.077832025,0.04259107,0.109448156,0.11438831,0.13390247,0.069641556,0.069798925,0.067241115,0.068771594,0.066388551
Q8TDC3,0.060556176,0.050388569,0.049725635,0.100991044,0.18395783,0.059482491,0.028566568,0.076652331,0.132020862,0.081029053,0.081617329,0.138435796,0.117676742,0.232810377,0.051227123,0.078995644,0.127341651,0.04039812,0.158191473,0.074453106,0.092559438,0.061557805,0.097947268,0.051149661,0.084772761,0.161793952,0.133093503,0.127070901,0.109764901,0.052694161,0.168040867,0.108152773,0.170750797,0.060312023,0.054681002,0.126547421,0.167054856,0.085073683,0.062237001,0.157831224,0.050928482,0.134645622,0.091531447,0.145656088,0.234383512,0.074921318,0.094497831,0.056546624,0.102486934,0.06802973,0.112961074,0.109494931,0.061324338,0.052535888,0.112003251,0.197235805,0.060749132,0.139023247,0.043471713,1.0,0.05841926,0.151071743,0.13930026,0.095720588,0.143370199,0.15847137,0.029126941,0.159825899,0.075339433,0.165949389,0.229748959,0.088153894,0.041887845,0.054699118,0.139258962,0.050719821,0.178971609,0.053853688,0.121221778,0.081443446,0.060209753,0.064961679,0.081377662,0.081851106,0.140406174,0.109851895,0.104631246,0.051700602,0.10951415,0.073166624,0.125302741,0.12434113,0.09583733,0.096741989,0.082242491,0.093448958,0.174891403,0.106032058,0.064517485,0.110239053,0.042641541,0.107076103,0.077547358,0.067901391,0.116549075,0.065111028,0.087780579,0.139219386,0.059577092,0.110515549,0.125983648,0.103896156,0.094693123,0.231867427,0.101043131,0.044759571,0.098896136,0.116037604,0.090158651,0.057124842,0.135130637,0.111740944,0.088028825,0.045906548,0.131272688,0.073420687,0.058245298,0.06522847,0.116832197,0.095225951,0.053876253,0.160429049,0.162486455,0.063448899,0.113464777,0.066605043,0.169884992,0.108880337,0.084775166,0.09292167,0.080199957,0.105352032,0.090070998,0.050212503,0.086279456,0.04463369,0.088664711,0.080594216,0.11967828,0.062685482,0.180150855,0.09689471,0.077574354,0.159200921,0.067274857,0.11168422,0.078451179,0.185354949,0.059972228,0.051506368,0.10711301,0.089119608,0.099205268,0.155970556,0.100494234,0.037250647,0.08402937,0.090199922,0.078621762,0.134458652,0.081993645,0.121779884,0.094164944,0.036897278,0.111658185,0.05018776,0.079818951,0.132485731,0.092156599,0.110539387,0.101009903,0.048571926,0.107897759,0.071789663,0.056303504,0.067489922,0.113077604,0.088695846,0.111423065
O00418,0.052322648,0.032396182,0.042767974,0.039220073,0.051301407,0.048838933,0.03237254,0.048663026,0.056553447,0.044228619,0.045178847,0.057062648,0.042602613,0.043952888,0.051999763,0.04693702,0.050976338,0.041671797,0.040514011,0.053088022,0.055735939,0.054903493,0.046592469,0.038590455,0.05177112,0.053575476,0.047772441,0.05273063,0.047761813,0.041641377,0.055717667,0.044114296,0.051765683,0.03698257,0.05152413,0.050875682,0.041972007,0.04975314,0.046170637,0.054732971,0.052217881,0.050874974,0.051703883,0.044774885,0.05128768,0.048493072,0.052518853,0.044181416,0.047483956,0.053740975,0.048118659,0.04951996,0.052538279,0.04666569,0.047356104,0.044818914,0.055706804,0.046648361,0.04808507,0.05841926,1.0,0.037879213,0.053700342,0.057105378,0.055097496,0.046784897,0.026382771,0.047191591,0.052050385,0.047424125,0.043028526,0.049103616,0.039519909,0.041265258,0.047135094,0.055911352,0.05894235,0.038519528,0.04560138,0.053332937,0.051489599,0.053837764,0.048733015,0.052308784,0.04750085,0.064030657,0.046104703,0.045731487,0.042695847,0.051158813,0.046986123,0.046182736,0.059430331,0.048901796,0.053335665,0.052542654,0.047476471,0.05054185,0.058287417,0.05103548,0.043374044,0.049700335,0.036606768,0.053914462,0.045603734,0.053810126,0.052186797,0.054349194,0.047809137,0.052104876,0.058968559,0.043584231,0.051187041,0.048307601,0.042794676,0.049898927,0.056088046,0.047842522,0.045225502,0.046838885,0.051544475,0.06044822,0.047757043,0.036261067,0.049169505,0.042538185,0.055137362,0.04321768,0.04897297,0.045307475,0.042026115,0.045085006,0.039876919,0.042258316,0.049912557,0.047053089,0.044128228,0.05348031,0.047771922,0.049612445,0.055711705,0.054741306,0.049382472,0.043032161,0.048491661,0.040382898,0.046879916,0.047488023,0.048515776,0.059775444,0.046456525,0.045082391,0.044691899,0.04508782,0.038447874,0.059724076,0.061776241,0.049582361,0.040760711,0.04637713,0.056464998,0.06455647,0.04625769,0.056137861,0.047291119,0.046956051,0.04459746,0.053074726,0.042386874,0.05446701,0.04778768,0.056662757,0.044556287,0.043019026,0.061301067,0.038852746,0.038585708,0.047809368,0.050077662,0.046916056,0.04462908,0.035981984,0.044450216,0.047262659,0.05371701,0.042752371,0.041689439,0.054046625,0.053775201
P24941,0.097967955,0.057583051,0.077623509,0.180800944,0.181884297,0.100579637,0.029827874,0.086716808,0.129474544,0.124011407,0.123229324,0.131170091,0.300129268,0.164606005,0.083876902,0.122425883,0.119122716,0.03489592,0.208237152,0.106379548,0.114941508,0.107632957,0.121540588,0.049501759,0.165057767,0.168166328,0.12294778,0.136756463,0.118104296,0.078049276,0.169865297,0.18577556,0.176766325,0.084222779,0.097089197,0.123880488,0.168873704,0.094822563,0.077407818,0.164990184,0.078970017,0.167559337,0.130272463,0.21345438,0.144556489,0.093412736,0.1124996,0.091346802,0.092114986,0.11379062,0.292469258,0.303190644,0.129984805,0.072499083,0.145127906,0.153250402,0.096067187,0.161888612,0.087519158,0.151071743,0.037879213,1.0,0.597338276,0.126768636,0.676893787,0.17460558,0.023981419,0.152726294,0.109104164,0.176788536,0.166601939,0.107105614,0.056137355,0.075310347,0.140154761,0.050470109,0.183604054,0.0871673,0.272913967,0.142508898,0.090645907,0.108503934,0.128030093,0.111433546,0.151246395,0.187925955,0.108333645,0.09288413,0.09450653,0.14221111,0.427795522,0.170947186,0.127959493,0.122854825,0.138604036,0.175419368,0.161318157,0.192439975,0.093179814,0.11857939,0.050935766,0.294815295,0.065753578,0.104959851,0.299781408,0.112482332,0.191446984,0.137844914,0.100536462,0.086396317,0.12118493,0.120870985,0.13261178,0.15147608,0.341002041,0.07848297,0.157408277,0.306127068,0.124844023,0.049982566,0.147635633,0.451380124,0.103023262,0.053242045,0.130370014,0.084545745,0.089607644,0.105149868,0.320420114,0.11714427,0.078640801,0.176122248,0.169513059,0.091529812,0.175384962,0.091793359,0.156019633,0.178794331,0.137400754,0.113162242,0.098284354,0.126898899,0.188729414,0.080309162,0.133658829,0.047345566,0.135599244,0.139734787,0.133269169,0.105517575,0.140223718,0.127168318,0.111850464,0.146652681,0.064980668,0.258638686,0.110568715,0.182094928,0.086369721,0.05608427,0.294546488,0.169665849,0.146762048,0.17045433,0.087126666,0.033316318,0.08212484,0.094594288,0.115353615,0.149766208,0.111910993,0.241580954,0.124316701,0.038008734,0.140031934,0.075568637,0.126792457,0.157871703,0.136740729,0.424787321,0.089526757,0.079413306,0.10004645,0.104783012,0.099931617,0.110694722,0.264637676,0.125969897,0.130762449
Q00535,0.091295818,0.051871317,0.069681027,0.17407983,0.172196554,0.092073885,0.030465918,0.082084232,0.125887938,0.117677677,0.120415634,0.128863777,0.283592731,0.140764132,0.074922627,0.123675659,0.109068084,0.035874453,0.220892341,0.09913361,0.103478101,0.106836839,0.121770943,0.065790627,0.141449777,0.157093995,0.119659999,0.131040959,0.122268942,0.080562232,0.160891361,0.169615514,0.147646673,0.087376491,0.084771836,0.140772372,0.152194187,0.081990742,0.074581986,0.158600316,0.07938255,0.1329089,0.134142394,0.21674202,0.125933924,0.09184287,0.105853248,0.087335317,0.095897529,0.108495613,0.28286026,0.276832388,0.131578868,0.078887497,0.124129772,0.13521234,0.102687684,0.139660487,0.096765478,0.13930026,0.053700342,0.597338276,1.0,0.118407926,0.559927318,0.150457158,0.024888722,0.163597463,0.111114452,0.168237737,0.154990729,0.113402088,0.05774426,0.075047523,0.14519209,0.046870008,0.165572109,0.077938183,0.254864918,0.127023353,0.077662913,0.087106108,0.123564273,0.093665194,0.144733207,0.170523801,0.113173246,0.082175141,0.07667619,0.104335433,0.419372519,0.165072972,0.113751436,0.11315491,0.133486045,0.153125864,0.157374871,0.172651305,0.092675397,0.115569386,0.053078557,0.277120472,0.067544067,0.098719071,0.291534976,0.107775295,0.182570451,0.130255991,0.100807208,0.083658492,0.128212693,0.105017703,0.116453536,0.128719876,0.343095672,0.086807452,0.146241422,0.296705852,0.119443992,0.051178813,0.136765174,0.413578912,0.107420304,0.047590495,0.118711031,0.08276635,0.079994054,0.090592809,0.284393286,0.100373553,0.066329046,0.15016865,0.153077562,0.08635721,0.156701432,0.088623281,0.142035541,0.150171948,0.124927319,0.123991946,0.101990897,0.1298204,0.17443591,0.084331105,0.124158459,0.052753455,0.127522319,0.132107912,0.11630512,0.090622889,0.131478746,0.112290628,0.100471364,0.157540783,0.065912743,0.251976848,0.091664021,0.181104266,0.081442836,0.052460713,0.282370617,0.143370015,0.121081904,0.15505237,0.08395281,0.035876511,0.079732899,0.09473271,0.091465643,0.131936483,0.118810582,0.228132787,0.118677915,0.041137072,0.122093521,0.069072422,0.114138753,0.136175669,0.114927695,0.399111978,0.087135239,0.077303537,0.090697571,0.097055736,0.102654537,0.099128013,0.247085004,0.117939364,0.12025044
P41240,0.154979365,0.114577665,0.134401812,0.119496981,0.125959039,0.167594669,0.027379736,0.096199657,0.095131929,0.063481436,0.096550867,0.093412615,0.112449874,0.091368172,0.142704299,0.074028028,0.075263031,0.039969467,0.118853108,0.228349821,0.092232973,0.197868739,0.07010833,0.050815707,0.093970951,0.081890266,0.068198937,0.096103733,0.081100171,0.149328636,0.088946794,0.103126286,0.12326408,0.137769101,0.142332838,0.07050935,0.100559587,0.15857569,0.126183961,0.096591146,0.152073804,0.127110442,0.322733744,0.12236469,0.110639769,0.119126645,0.100943544,0.165935797,0.062405856,0.19709226,0.11567301,0.120944056,0.056927566,0.133865189,0.11326961,0.091718924,0.077808021,0.113647551,0.143115286,0.095720588,0.057105378,0.126768636,0.118407926,1.0,0.124907397,0.125643075,0.022284582,0.101191444,0.14182714,0.124429633,0.097758585,0.07866387,0.051200379,0.147513775,0.086594546,0.048433556,0.095733411,0.160719528,0.077459208,0.325872159,0.150224574,0.156130165,0.274958215,0.255562029,0.107461633,0.114474053,0.099850214,0.159571963,0.141622312,0.147194727,0.103738285,0.135846739,0.108355307,0.102953703,0.315636278,0.106714975,0.092835208,0.102667805,0.253085252,0.106128595,0.045883139,0.06875399,0.133381678,0.209700723,0.109611355,0.192207008,0.089925157,0.088607299,0.155717126,0.117184957,0.084539437,0.100875807,0.146843004,0.114532381,0.117066239,0.152159674,0.077503954,0.109556002,0.074376989,0.037505891,0.117183526,0.109188898,0.077472361,0.061301606,0.067194289,0.157352419,0.127215748,0.073503271,0.109562369,0.109250636,0.129141507,0.128776197,0.124949022,0.145555187,0.082966114,0.162896523,0.08676505,0.07100525,0.31075325,0.077336953,0.076456348,0.070099125,0.086896905,0.151997013,0.318599733,0.045984282,0.328238086,0.328317511,0.081313288,0.053362437,0.081528378,0.089388968,0.268424205,0.091475406,0.045839043,0.077785577,0.221028111,0.124445936,0.162507873,0.044919806,0.073428675,0.086855642,0.091100884,0.087081888,0.231001577,0.043344375,0.058645111,0.121224814,0.068793812,0.107502702,0.070077733,0.075201379,0.077078588,0.049255268,0.101130823,0.136398284,0.057765062,0.12021276,0.50356799,0.10133237,0.063065235,0.133810862,0.233868137,0.272554466,0.110726254,0.145324709,0.072189975,0.095691139,0.094314042
P06493,0.092484103,0.054533726,0.074297458,0.177167345,0.196531272,0.091295033,0.02679806,0.103559627,0.131909407,0.112042704,0.129248528,0.128461589,0.281745956,0.156190904,0.073987068,0.106326218,0.116622505,0.041800355,0.206512354,0.109530416,0.113529424,0.105256732,0.120522539,0.051264282,0.158334988,0.195141811,0.118520463,0.139648885,0.117486473,0.07707558,0.184261829,0.18039556,0.148618954,0.082380174,0.098479196,0.109126528,0.151276055,0.095290369,0.079008754,0.172782692,0.069746008,0.1634777,0.133917139,0.204384442,0.135744861,0.096682877,0.105761605,0.087628692,0.098788871,0.113606853,0.273467094,0.30374589,0.115193922,0.068032989,0.138083255,0.147399621,0.089832888,0.151752402,0.073999708,0.143370199,0.055097496,0.676893787,0.559927318,0.124907397,1.0,0.186448697,0.023996988,0.151934679,0.108431012,0.162681538,0.16305902,0.123252139,0.063617018,0.071578154,0.132735577,0.054946236,0.189717381,0.073633263,0.247545273,0.126711126,0.078874718,0.097427158,0.125539525,0.11581801,0.148218071,0.173689202,0.114937563,0.091126821,0.088115528,0.13942365,0.409185984,0.19386114,0.118001538,0.122481134,0.11491389,0.168951053,0.178072044,0.192119892,0.102702216,0.122686493,0.048008666,0.289376264,0.06485015,0.108221307,0.299167426,0.114560509,0.181566074,0.148328686,0.098318607,0.093592979,0.114833127,0.104583472,0.126262853,0.140378112,0.356288158,0.076779834,0.145390275,0.295309573,0.121429653,0.059916176,0.142432222,0.437530504,0.092304337,0.053842827,0.137060446,0.080561383,0.082318473,0.094891484,0.290140804,0.111935958,0.075814056,0.186091173,0.184301861,0.088742769,0.158660253,0.092652078,0.169357564,0.160614348,0.135847522,0.117375176,0.107381766,0.120761058,0.177099854,0.076382534,0.123298707,0.046064634,0.119306496,0.129746423,0.137683311,0.103290127,0.153041778,0.114804572,0.116896746,0.130729653,0.075624248,0.245447787,0.100195746,0.197902487,0.091598459,0.065220081,0.299405194,0.157060781,0.125515356,0.187371037,0.08831444,0.037223896,0.07572939,0.096730449,0.100210089,0.165977488,0.102606365,0.237206916,0.126688025,0.044423827,0.137064806,0.084096649,0.106458002,0.153327593,0.131065501,0.404344167,0.09519283,0.07465991,0.09521141,0.115756741,0.110306346,0.108913733,0.229489203,0.104161269,0.129484608
